dsmfile,dtmfile,bounds
DHMVIIDSMRAS1m_k15.tif,DHMVIIDTMRAS1m_k15.tif,"(130000.0, 198000.0, 162000.0, 218000.0)"
DHMVIIDSMRAS1m_k01.tif,DHMVIIDTMRAS1m_k01.tif,"(145000.0, 238000.0, 162000.0, 247000.0)"
DHMVIIDSMRAS1m_k02.tif,DHMVIIDTMRAS1m_k02.tif,"(162000.0, 238000.0, 194000.0, 250000.0)"
DHMVIIDSMRAS1m_k03.tif,DHMVIIDTMRAS1m_k03.tif,"(194000.0, 238000.0, 206000.0, 248000.0)"
DHMVIIDSMRAS1m_k04.tif,DHMVIIDTMRAS1m_k04.tif,"(53000.0, 218000.0, 66000.0, 225500.0)"
DHMVIIDSMRAS1m_k05.tif,DHMVIIDTMRAS1m_k05.tif,"(66000.0, 218000.0, 98000.0, 232000.0)"
DHMVIIDSMRAS1m_k06.tif,DHMVIIDTMRAS1m_k06.tif,"(98000.0, 218000.0, 130000.0, 227000.0)"
DHMVIIDSMRAS1m_k13.tif,DHMVIIDTMRAS1m_k07.tif,"(130000.0, 218000.0, 162000.0, 238000.0)"
DHMVIIDSMRAS1m_k09.tif,DHMVIIDTMRAS1m_k08.tif,"(162000.0, 218000.0, 194000.0, 238000.0)"
DHMVIIDSMRAS1m_k11.tif,DHMVIIDTMRAS1m_k09.tif,"(194000.0, 218000.0, 226000.0, 238000.0)"
DHMVIIDSMRAS1m_k10.tif,DHMVIIDTMRAS1m_k10.tif,"(226000.0, 218000.0, 238000.0, 227000.0)"
DHMVIIDSMRAS1m_k14.tif,DHMVIIDTMRAS1m_k11.tif,"(18500.0, 198000.0, 34000.0, 206500.0)"
DHMVIIDSMRAS1m_k07.tif,DHMVIIDTMRAS1m_k12.tif,"(34000.0, 198000.0, 66000.0, 218000.0)"
DHMVIIDSMRAS1m_k16.tif,DHMVIIDTMRAS1m_k13.tif,"(66000.0, 198000.0, 98000.0, 218000.0)"
DHMVIIDSMRAS1m_k08.tif,DHMVIIDTMRAS1m_k14.tif,"(98000.0, 198000.0, 130000.0, 218000.0)"
DHMVIIDSMRAS1m_k12.tif,DHMVIIDTMRAS1m_k16.tif,"(162000.0, 198000.0, 194000.0, 218000.0)"
DHMVIIDSMRAS1m_k17.tif,DHMVIIDTMRAS1m_k17.tif,"(194000.0, 198000.0, 226000.0, 218000.0)"
DHMVIIDSMRAS1m_k19.tif,DHMVIIDTMRAS1m_k18.tif,"(226000.0, 198000.0, 258000.0, 218000.0)"
DHMVIIDSMRAS1m_k18.tif,DHMVIIDTMRAS1m_k19.tif,"(17000.0, 178000.0, 34000.0, 198000.0)"
DHMVIIDSMRAS1m_k20.tif,DHMVIIDTMRAS1m_k20.tif,"(34000.0, 178000.0, 66000.0, 198000.0)"
DHMVIIDSMRAS1m_k21.tif,DHMVIIDTMRAS1m_k21.tif,"(66000.0, 178000.0, 98000.0, 198000.0)"
DHMVIIDSMRAS1m_k22.tif,DHMVIIDTMRAS1m_k22.tif,"(98000.0, 178000.0, 130000.0, 198000.0)"
DHMVIIDSMRAS1m_k23.tif,DHMVIIDTMRAS1m_k23.tif,"(130000.0, 178000.0, 162000.0, 198000.0)"
DHMVIIDSMRAS1m_k25.tif,DHMVIIDTMRAS1m_k24.tif,"(162000.0, 178000.0, 194000.0, 198000.0)"
DHMVIIDSMRAS1m_k26.tif,DHMVIIDTMRAS1m_k25.tif,"(194000.0, 178000.0, 226000.0, 198000.0)"
DHMVIIDSMRAS1m_k27.tif,DHMVIIDTMRAS1m_k26.tif,"(226000.0, 178000.0, 258000.0, 198000.0)"
DHMVIIDSMRAS1m_k28.tif,DHMVIIDTMRAS1m_k27.tif,"(20000.0, 158000.0, 34000.0, 178000.0)"
DHMVIIDSMRAS1m_k29.tif,DHMVIIDTMRAS1m_k28.tif,"(34000.0, 158000.0, 66000.0, 178000.0)"
DHMVIIDSMRAS1m_k30.tif,DHMVIIDTMRAS1m_k29.tif,"(66000.0, 158000.0, 98000.0, 178000.0)"
DHMVIIDSMRAS1m_k31.tif,DHMVIIDTMRAS1m_k30.tif,"(98000.0, 158000.0, 130000.0, 178000.0)"
DHMVIIDSMRAS1m_k32.tif,DHMVIIDTMRAS1m_k31.tif,"(130000.0, 158000.0, 162000.0, 178000.0)"
DHMVIIDSMRAS1m_k33.tif,DHMVIIDTMRAS1m_k32.tif,"(162000.0, 158000.0, 194000.0, 178000.0)"
DHMVIIDSMRAS1m_k34.tif,DHMVIIDTMRAS1m_k33.tif,"(194000.0, 158000.0, 226000.0, 178000.0)"
DHMVIIDSMRAS1m_k35.tif,DHMVIIDTMRAS1m_k34.tif,"(226000.0, 158000.0, 258000.0, 178000.0)"
DHMVIIDSMRAS1m_k36.tif,DHMVIIDTMRAS1m_k35.tif,"(258000.0, 158000.0, 264000.0, 169000.0)"
DHMVIIDSMRAS1m_k37.tif,DHMVIIDTMRAS1m_k36.tif,"(34000.0, 151000.0, 66000.0, 158000.0)"
DHMVIIDSMRAS1m_k38.tif,DHMVIIDTMRAS1m_k37.tif,"(66000.0, 150000.0, 98000.0, 158000.0)"
DHMVIIDSMRAS1m_k39.tif,DHMVIIDTMRAS1m_k38.tif,"(98000.0, 148000.0, 130000.0, 158000.0)"
DHMVIIDSMRAS1m_k40.tif,DHMVIIDTMRAS1m_k39.tif,"(130000.0, 148000.0, 162000.0, 158000.0)"
DHMVIIDSMRAS1m_k41.tif,DHMVIIDTMRAS1m_k40.tif,"(162000.0, 152000.0, 194000.0, 158000.0)"
DHMVIIDSMRAS1m_k42.tif,DHMVIIDTMRAS1m_k41.tif,"(194000.0, 149000.0, 226000.0, 158000.0)"
DHMVIIDSMRAS1m_k43.tif,DHMVIIDTMRAS1m_k42.tif,"(226000.0, 151000.0, 258000.0, 158000.0)"
DHMVIIDSMRAS1m_k24.tif,DHMVIIDTMRAS1m_k43.tif,"(258000.0, 151000.0, 264000.0, 158000.0)"
