filelist,bounds
DHMVIIDSMRAS1m_k15.tif,"BoundingBox(left=130000.0, bottom=198000.0, right=162000.0, top=218000.0)"
DHMVIIDSMRAS1m_k01.tif,"BoundingBox(left=145000.0, bottom=238000.0, right=162000.0, top=247000.0)"
DHMVIIDSMRAS1m_k02.tif,"BoundingBox(left=162000.0, bottom=238000.0, right=194000.0, top=250000.0)"
DHMVIIDSMRAS1m_k03.tif,"BoundingBox(left=194000.0, bottom=238000.0, right=206000.0, top=248000.0)"
DHMVIIDSMRAS1m_k04.tif,"BoundingBox(left=53000.0, bottom=218000.0, right=66000.0, top=225500.0)"
DHMVIIDSMRAS1m_k05.tif,"BoundingBox(left=66000.0, bottom=218000.0, right=98000.0, top=232000.0)"
DHMVIIDSMRAS1m_k06.tif,"BoundingBox(left=98000.0, bottom=218000.0, right=130000.0, top=227000.0)"
DHMVIIDSMRAS1m_k13.tif,"BoundingBox(left=66000.0, bottom=198000.0, right=98000.0, top=218000.0)"
DHMVIIDSMRAS1m_k09.tif,"BoundingBox(left=194000.0, bottom=218000.0, right=226000.0, top=238000.0)"
DHMVIIDSMRAS1m_k11.tif,"BoundingBox(left=18500.0, bottom=198000.0, right=34000.0, top=206500.0)"
DHMVIIDSMRAS1m_k10.tif,"BoundingBox(left=226000.0, bottom=218000.0, right=238000.0, top=227000.0)"
DHMVIIDSMRAS1m_k14.tif,"BoundingBox(left=98000.0, bottom=198000.0, right=130000.0, top=218000.0)"
DHMVIIDSMRAS1m_k07.tif,"BoundingBox(left=130000.0, bottom=218000.0, right=162000.0, top=238000.0)"
DHMVIIDSMRAS1m_k16.tif,"BoundingBox(left=162000.0, bottom=198000.0, right=194000.0, top=218000.0)"
DHMVIIDSMRAS1m_k08.tif,"BoundingBox(left=162000.0, bottom=218000.0, right=194000.0, top=238000.0)"
DHMVIIDSMRAS1m_k12.tif,"BoundingBox(left=34000.0, bottom=198000.0, right=66000.0, top=218000.0)"
DHMVIIDSMRAS1m_k17.tif,"BoundingBox(left=194000.0, bottom=198000.0, right=226000.0, top=218000.0)"
DHMVIIDSMRAS1m_k19.tif,"BoundingBox(left=17000.0, bottom=178000.0, right=34000.0, top=198000.0)"
DHMVIIDSMRAS1m_k18.tif,"BoundingBox(left=226000.0, bottom=198000.0, right=258000.0, top=218000.0)"
DHMVIIDSMRAS1m_k20.tif,"BoundingBox(left=34000.0, bottom=178000.0, right=66000.0, top=198000.0)"
DHMVIIDSMRAS1m_k21.tif,"BoundingBox(left=66000.0, bottom=178000.0, right=98000.0, top=198000.0)"
DHMVIIDSMRAS1m_k22.tif,"BoundingBox(left=98000.0, bottom=178000.0, right=130000.0, top=198000.0)"
DHMVIIDSMRAS1m_k23.tif,"BoundingBox(left=130000.0, bottom=178000.0, right=162000.0, top=198000.0)"
DHMVIIDSMRAS1m_k25.tif,"BoundingBox(left=194000.0, bottom=178000.0, right=226000.0, top=198000.0)"
DHMVIIDSMRAS1m_k26.tif,"BoundingBox(left=226000.0, bottom=178000.0, right=258000.0, top=198000.0)"
DHMVIIDSMRAS1m_k27.tif,"BoundingBox(left=20000.0, bottom=158000.0, right=34000.0, top=178000.0)"
DHMVIIDSMRAS1m_k28.tif,"BoundingBox(left=34000.0, bottom=158000.0, right=66000.0, top=178000.0)"
DHMVIIDSMRAS1m_k29.tif,"BoundingBox(left=66000.0, bottom=158000.0, right=98000.0, top=178000.0)"
DHMVIIDSMRAS1m_k30.tif,"BoundingBox(left=98000.0, bottom=158000.0, right=130000.0, top=178000.0)"
DHMVIIDSMRAS1m_k31.tif,"BoundingBox(left=130000.0, bottom=158000.0, right=162000.0, top=178000.0)"
DHMVIIDSMRAS1m_k32.tif,"BoundingBox(left=162000.0, bottom=158000.0, right=194000.0, top=178000.0)"
DHMVIIDSMRAS1m_k33.tif,"BoundingBox(left=194000.0, bottom=158000.0, right=226000.0, top=178000.0)"
DHMVIIDSMRAS1m_k34.tif,"BoundingBox(left=226000.0, bottom=158000.0, right=258000.0, top=178000.0)"
DHMVIIDSMRAS1m_k35.tif,"BoundingBox(left=258000.0, bottom=158000.0, right=264000.0, top=169000.0)"
DHMVIIDSMRAS1m_k36.tif,"BoundingBox(left=34000.0, bottom=151000.0, right=66000.0, top=158000.0)"
DHMVIIDSMRAS1m_k37.tif,"BoundingBox(left=66000.0, bottom=150000.0, right=98000.0, top=158000.0)"
DHMVIIDSMRAS1m_k38.tif,"BoundingBox(left=98000.0, bottom=148000.0, right=130000.0, top=158000.0)"
DHMVIIDSMRAS1m_k39.tif,"BoundingBox(left=130000.0, bottom=148000.0, right=162000.0, top=158000.0)"
DHMVIIDSMRAS1m_k40.tif,"BoundingBox(left=162000.0, bottom=152000.0, right=194000.0, top=158000.0)"
DHMVIIDSMRAS1m_k41.tif,"BoundingBox(left=194000.0, bottom=149000.0, right=226000.0, top=158000.0)"
DHMVIIDSMRAS1m_k42.tif,"BoundingBox(left=226000.0, bottom=151000.0, right=258000.0, top=158000.0)"
DHMVIIDSMRAS1m_k43.tif,"BoundingBox(left=258000.0, bottom=151000.0, right=264000.0, top=158000.0)"
DHMVIIDSMRAS1m_k24.tif,"BoundingBox(left=162000.0, bottom=178000.0, right=194000.0, top=198000.0)"
