bounds
"BoundingBox(left=130000.0, bottom=198000.0, right=162000.0, top=218000.0)"
"BoundingBox(left=145000.0, bottom=238000.0, right=162000.0, top=247000.0)"
"BoundingBox(left=162000.0, bottom=238000.0, right=194000.0, top=250000.0)"
"BoundingBox(left=194000.0, bottom=238000.0, right=206000.0, top=248000.0)"
"BoundingBox(left=53000.0, bottom=218000.0, right=66000.0, top=225500.0)"
"BoundingBox(left=66000.0, bottom=218000.0, right=98000.0, top=232000.0)"
"BoundingBox(left=98000.0, bottom=218000.0, right=130000.0, top=227000.0)"
"BoundingBox(left=66000.0, bottom=198000.0, right=98000.0, top=218000.0)"
"BoundingBox(left=194000.0, bottom=218000.0, right=226000.0, top=238000.0)"
"BoundingBox(left=18500.0, bottom=198000.0, right=34000.0, top=206500.0)"
"BoundingBox(left=226000.0, bottom=218000.0, right=238000.0, top=227000.0)"
"BoundingBox(left=98000.0, bottom=198000.0, right=130000.0, top=218000.0)"
"BoundingBox(left=130000.0, bottom=218000.0, right=162000.0, top=238000.0)"
"BoundingBox(left=162000.0, bottom=198000.0, right=194000.0, top=218000.0)"
"BoundingBox(left=162000.0, bottom=218000.0, right=194000.0, top=238000.0)"
"BoundingBox(left=34000.0, bottom=198000.0, right=66000.0, top=218000.0)"
"BoundingBox(left=194000.0, bottom=198000.0, right=226000.0, top=218000.0)"
"BoundingBox(left=17000.0, bottom=178000.0, right=34000.0, top=198000.0)"
"BoundingBox(left=226000.0, bottom=198000.0, right=258000.0, top=218000.0)"
"BoundingBox(left=34000.0, bottom=178000.0, right=66000.0, top=198000.0)"
"BoundingBox(left=66000.0, bottom=178000.0, right=98000.0, top=198000.0)"
"BoundingBox(left=98000.0, bottom=178000.0, right=130000.0, top=198000.0)"
"BoundingBox(left=130000.0, bottom=178000.0, right=162000.0, top=198000.0)"
"BoundingBox(left=194000.0, bottom=178000.0, right=226000.0, top=198000.0)"
"BoundingBox(left=226000.0, bottom=178000.0, right=258000.0, top=198000.0)"
"BoundingBox(left=20000.0, bottom=158000.0, right=34000.0, top=178000.0)"
"BoundingBox(left=34000.0, bottom=158000.0, right=66000.0, top=178000.0)"
"BoundingBox(left=66000.0, bottom=158000.0, right=98000.0, top=178000.0)"
"BoundingBox(left=98000.0, bottom=158000.0, right=130000.0, top=178000.0)"
"BoundingBox(left=130000.0, bottom=158000.0, right=162000.0, top=178000.0)"
"BoundingBox(left=162000.0, bottom=158000.0, right=194000.0, top=178000.0)"
"BoundingBox(left=194000.0, bottom=158000.0, right=226000.0, top=178000.0)"
"BoundingBox(left=226000.0, bottom=158000.0, right=258000.0, top=178000.0)"
"BoundingBox(left=258000.0, bottom=158000.0, right=264000.0, top=169000.0)"
"BoundingBox(left=34000.0, bottom=151000.0, right=66000.0, top=158000.0)"
"BoundingBox(left=66000.0, bottom=150000.0, right=98000.0, top=158000.0)"
"BoundingBox(left=98000.0, bottom=148000.0, right=130000.0, top=158000.0)"
"BoundingBox(left=130000.0, bottom=148000.0, right=162000.0, top=158000.0)"
"BoundingBox(left=162000.0, bottom=152000.0, right=194000.0, top=158000.0)"
"BoundingBox(left=194000.0, bottom=149000.0, right=226000.0, top=158000.0)"
"BoundingBox(left=226000.0, bottom=151000.0, right=258000.0, top=158000.0)"
"BoundingBox(left=258000.0, bottom=151000.0, right=264000.0, top=158000.0)"
"BoundingBox(left=162000.0, bottom=178000.0, right=194000.0, top=198000.0)"
